County,incident_acres_burned,incident_longitude,incident_latitude,Date,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),Year,Population,Density,Land Area (mi),None,D0,D1,D2,D3,D4,Temp Difference,Avg Temperature (F),Wind Speed to Wind Run Ratio,Precip to Solar Rad Ratio,Weather Intensity,Dew Point,Month,Day
riverside,5.0,-116.857302,33.592915,2023-10-17,0.16,0.0,467.0,12.7,52.99999999999999,42.39999999999999,75.0,2.9,69.4,68.7,2023,2492442.0,345.7403245942572,7209.0,82.76,17.24,0.0,0.0,0.0,0.0,42.39999999999999,52.99999999999999,0.0417867435158501,0.0,130.9,47.99999999999999,10,17
san diego,24.0,-116.9196,32.598,2023-10-29,0.15,0.0,446.0,6.7,47.35,34.300000000000004,86.0,4.6,109.4,68.1,2023,3269973.0,776.7156769596199,4210.0,100.0,0.0,0.0,0.0,0.0,0.0,34.300000000000004,47.35,0.0420475319926873,0.0,137.95,44.55,10,29
riverside,2487.0,-116.82307,33.438207,2023-10-30,0.14,0.0,382.0,2.5,47.125,30.45,26.0,4.5,109.0,61.6,2023,2492442.0,345.7403245942572,7209.0,82.76,17.24,0.0,0.0,0.0,0.0,30.45,47.125,0.0412844036697247,0.0,77.625,32.325,10,30
san luis obispo,124.0,-120.644,35.2808,2023-10-30,0.16,0.0,385.0,4.4,49.225,27.450000000000003,72.0,4.5,107.1,62.2,2023,281639.0,85.31929718267192,3301.0,100.0,0.0,0.0,0.0,0.0,0.0,27.450000000000003,49.225,0.042016806722689,0.0,125.725,43.625,10,30
santa barbara,211.0,-120.32318,34.55742,2023-11-09,0.1,0.0,349.0,6.2,53.925,-2.3499999999999943,94.0,1.8,43.6,69.1,2023,441257.0,161.39612289685442,2734.0,100.0,0.0,0.0,0.0,0.0,0.0,-2.3499999999999943,53.925,0.0412844036697247,0.0,149.72500000000002,52.725,11,9
kern,112.0,-119.58333,35.15773,2023-11-12,0.1,0.0,360.0,7.9,52.05,12.900000000000006,91.0,2.6,62.0,62.3,2023,913820.0,112.3318992009834,8135.0,100.0,0.0,0.0,0.0,0.0,0.0,12.900000000000006,52.05,0.0419354838709677,0.0,145.65,50.25,11,12
riverside,13.0,-116.99867,33.85008,2023-11-14,0.11,0.0,368.0,5.5,49.2,30.8,46.0,2.7,64.2,57.6,2023,2492442.0,345.7403245942572,7209.0,83.12,16.88,0.0,0.0,0.0,0.0,30.8,49.2,0.0420560747663551,0.0,97.9,38.39999999999999,11,14
riverside,15.0,-117.003584,33.839416,2023-11-14,0.11,0.0,368.0,5.5,49.2,30.8,46.0,2.7,64.2,57.6,2023,2492442.0,345.7403245942572,7209.0,83.12,16.88,0.0,0.0,0.0,0.0,30.8,49.2,0.0420560747663551,0.0,97.9,38.39999999999999,11,14
riverside,36.0,-116.246207,33.809953,2023-11-19,0.09,0.0,334.0,11.5,39.55,43.900000000000006,91.0,3.3,78.4,61.2,2023,2492442.0,345.7403245942572,7209.0,83.12,16.88,0.0,0.0,0.0,0.0,43.900000000000006,39.55,0.0420918367346938,0.0,133.85000000000002,37.75,11,19
riverside,35.0,-117.46406,33.8438665,2023-11-20,0.23,0.01,354.0,3.1,39.975,41.35,32.0,12.8,306.1,59.2,2023,2492442.0,345.7403245942572,7209.0,83.12,16.88,0.0,0.0,0.0,0.0,41.35,39.975,0.0418163998693237,2.824858757062147e-05,84.78499999999998,26.374999999999996,11,20
